Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice
frozen,1.9288,per_pound,0.7478,0.3307,pounds,0.853
canned,1.0492,per_pound,0.65,0.3858,pounds,0.6228
dried,1.4942,per_pound,2.4692,0.3858,pounds,0.2335
fresh,1.9062,per_pound,0.91,0.3197,pounds,0.6696
fresh,3.9803,per_pound,0.7695,0.3527,pounds,1.8246
frozen,1.8562,per_pound,0.8995,0.3748,pounds,0.7734
canned,5.7719,per_pound,1.0,0.2976,pounds,1.7179
fresh,0.9751,per_pound,0.9,0.3527,pounds,0.3822
fresh,1.2131,per_pound,0.68,0.4079,pounds,0.7276
juice,0.769,per_pint,1.0,8.0,fluid_ounces,0.3845
juice,0.9842,per_pint,1.0,8.0,fluid_ounces,0.4921
fresh,1.2904,per_pound,0.62,0.3086,pounds,0.6424
dried,5.5089,per_pound,1.0,0.1543,pounds,0.8502
fresh,1.7167,per_pound,0.96,0.3417,pounds,0.6111
frozen,3.3867,per_pound,1.0,0.3307,pounds,1.12
canned,2.0237,per_pound,1.0,0.5401,pounds,1.0931
canned,1.8117,per_pound,0.65,0.4409,pounds,1.229
fresh,1.5865,per_pound,0.9,0.3638,pounds,0.6412
canned,1.9546,per_pound,1.0,0.5401,pounds,1.0557
canned,1.897,per_pound,0.65,0.4409,pounds,1.2868
fresh,0.5685,per_pound,0.51,0.3638,pounds,0.4055
dried,6.6492,per_pound,1.0,0.1543,pounds,1.0261
juice,0.6973,per_pint,1.0,8.0,fluid_ounces,0.3486
canned,1.4344,per_pound,1.0,0.5401,pounds,0.7748
canned,1.4067,per_pound,0.65,0.4409,pounds,0.9543
juice,1.0288,per_pint,1.0,8.0,fluid_ounces,0.5144
canned,0.8742,per_pound,0.65,0.3858,pounds,0.5189
dried,1.2933,per_pound,2.4692,0.3858,pounds,0.2021
fresh,2.0292,per_pound,0.94,0.3638,pounds,0.7852
juice,1.5522,per_pint,1.0,8.0,fluid_ounces,0.7761
dried,5.7042,per_pound,1.0,0.1874,pounds,1.0689
fresh,2.235,per_pound,0.56,0.3417,pounds,1.3638
juice,3.122,per_pint,1.0,8.0,fluid_ounces,1.561
fresh,0.6682,per_pound,0.8113,0.2646,pounds,0.2179
canned,1.107,per_pound,0.65,0.3417,pounds,0.582
frozen,1.5371,per_pound,0.776,0.3417,pounds,0.6769
canned,2.0172,per_pound,1.0,0.5401,pounds,1.0896
fresh,1.577,per_pound,0.9,0.2756,pounds,0.4829
fresh,6.6391,per_pound,0.96,0.3197,pounds,2.2107
frozen,4.1877,per_pound,1.0,0.3307,pounds,1.3849
fresh,2.1614,per_pound,0.82,0.2646,pounds,0.6973
canned,1.3154,per_pound,0.65,0.3748,pounds,0.7585
frozen,2.133,per_pound,0.776,0.3748,pounds,1.0302
fresh,2.994,per_pound,0.77,0.3307,pounds,1.2859
fresh,2.994,per_pound,1.0,0.1543,pounds,0.4621
fresh,2.58,per_pound,0.94,0.3197,pounds,0.8774
frozen,2.8189,per_pound,1.0,0.3307,pounds,0.9322
fresh,1.1198,per_pound,0.8818,0.4409,pounds,0.5599
canned,1.0175,per_pound,1.0,0.5401,pounds,0.5496
fresh,4.1458,per_pound,0.91,0.3748,pounds,1.7075
fresh,2.3347,per_pound,0.91,0.3748,pounds,0.9616
fresh,1.1618,per_pound,0.91,0.3748,pounds,0.4785
fresh,2.4176,per_pound,0.75,0.3197,pounds,1.0304
canned,1.0429,per_pound,0.65,0.3527,pounds,0.566
frozen,1.9451,per_pound,0.776,0.3527,pounds,0.8841
fresh,0.3604,per_pound,0.52,0.3307,pounds,0.2292
fresh,1.5489,per_pound,0.7695,0.3968,pounds,0.7987
