MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
White House Down,(2013),"
Action, Drama, Thriller            ",6.3,"
While on a tour of the White House with his young daughter, a Capitol policeman springs into action to save his child and protect the president from a heavily armed group of paramilitary invaders.","
    Director:
Roland Emmerich
| 
    Stars:
Channing Tatum, 
Jamie Foxx, 
Maggie Gyllenhaal, 
Jason Clarke
","211,395",131.0,$73.10M
Southpaw,(2015),"
Action, Crime, Drama            ",7.4,"
After a fatal incident sends him on a rampant path of destruction, a champion boxer fights to get custody of his daughter and revive his professional career.","
    Director:
Antoine Fuqua
| 
    Stars:
Jake Gyllenhaal, 
Rachel McAdams, 
Oona Laurence, 
Forest Whitaker
","223,775",124.0,$52.42M
Public Enemies,(2009),"
Biography, Crime, Drama            ",7.0,"
The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson and Pretty Boy Floyd during a booming crime wave in the 1930s.","
    Director:
Michael Mann
| 
    Stars:
Christian Bale, 
Johnny Depp, 
Christian Stolte, 
Jason Clarke
","288,097",140.0,$97.10M
Now You See Me 2,(2016),"
Action, Adventure, Comedy            ",6.5,"
The Four Horsemen resurface, and are forcibly recruited by a tech genius to pull off their most impossible heist yet.","
    Director:
Jon M. Chu
| 
    Stars:
Jesse Eisenberg, 
Mark Ruffalo, 
Woody Harrelson, 
Dave Franco
","261,079",129.0,$65.08M
Knocked Up,(2007),"
Comedy, Romance            ",6.9,"
For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child.","
    Director:
Judd Apatow
| 
    Stars:
Seth Rogen, 
Katherine Heigl, 
Paul Rudd, 
Leslie Mann
","356,979",129.0,$148.73M
Dreamgirls,(2006),"
Drama, Music, Musical            ",6.5,"
A trio of black female soul singers cross over to the pop charts in the early 1960s, facing their own personal struggles along the way.","
    Director:
Bill Condon
| 
    Stars:
Beyoncé, 
Jamie Foxx, 
Eddie Murphy, 
Danny Glover
","70,985",130.0,$103.37M
Operation Finale,(2018),"
Biography, Drama, History            ",6.6,"
A team of secret agents set out to track down the Nazi officer who masterminded the Holocaust.","
    Director:
Chris Weitz
| 
    Stars:
Oscar Isaac, 
Ben Kingsley, 
Mélanie Laurent, 
Lior Raz
","36,593",122.0,$17.61M
Live by Night,(2016),"
Action, Crime, Drama            ",6.4,"
A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.","
    Director:
Ben Affleck
| 
    Stars:
Ben Affleck, 
Elle Fanning, 
Brendan Gleeson, 
Chris Messina
","54,010",129.0,$10.38M
Oz the Great and Powerful,(2013),"
Adventure, Family, Fantasy            ",6.3,"
A small-time magician is swept away to an enchanted land and is forced into a power struggle between three witches.","
    Director:
Sam Raimi
| 
    Stars:
James Franco, 
Michelle Williams, 
Rachel Weisz, 
Mila Kunis
","201,707",130.0,$234.91M
Noah,(2014),"
Action, Adventure, Drama            ",5.7,"
Noah is chosen by God to undertake a momentous mission before an apocalyptic flood cleanses the world.","
    Director:
Darren Aronofsky
| 
    Stars:
Russell Crowe, 
Jennifer Connelly, 
Anthony Hopkins, 
Emma Watson
","247,033",138.0,$101.20M
Lord of War,(2005),"
Action, Crime, Drama            ",7.6,"
An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.","
    Director:
Andrew Niccol
| 
    Stars:
Nicolas Cage, 
Ethan Hawke, 
Jared Leto, 
Bridget Moynahan
","300,344",122.0,$24.15M
Battle of Britain,(1969),"
Action, Drama, History            ",7.0,"
In 1940, the British Royal Air Force fights a desperate battle to prevent the Luftwaffe from gaining air superiority over the English Channel as a prelude to a possible Axis invasion of the U.K.","
    Director:
Guy Hamilton
| 
    Stars:
Michael Caine, 
Trevor Howard, 
Harry Andrews, 
Curd Jürgens
","21,366",132.0,$4.36M
The Infiltrator,(2016),"
Biography, Crime, Drama            ",7.0,"
A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.","
    Director:
Brad Furman
| 
    Stars:
Bryan Cranston, 
John Leguizamo, 
Diane Kruger, 
Amy Ryan
","70,858",127.0,$15.43M
Hannibal Rising,(2007),"
Action, Adventure, Crime            ",6.2,"
After the death of his parents during World War II, young Hannibal Lecter moves in with his beautiful aunt and begins plotting revenge on the barbarians responsible for his sister's death.","
    Director:
Peter Webber
| 
    Stars:
Gaspard Ulliel, 
Rhys Ifans, 
Gong Li, 
Aaran Thomas
","106,197",121.0,$27.67M
Child 44,(2015),"
Crime, Drama, History            ",6.5,"
A disgraced member of the Russian military police investigates a series of child murders during the Stalin-era Soviet Union.","
    Director:
Daniel Espinosa
| 
    Stars:
Tom Hardy, 
Gary Oldman, 
Noomi Rapace, 
Joel Kinnaman
","67,925",137.0,$1.21M
