Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice,Item_Apples,"Item_Apples, applesauce","Item_Apples, frozen concentrate","Item_Apples, ready-to-drink",Item_Apricots,"Item_Apricots, packed in juice","Item_Apricots, packed in syrup or water",Item_Artichoke,Item_Asparagus,Item_Avocados,Item_Bananas,Item_Beets,"Item_Berries, mixed",Item_Black beans,Item_Blackberries,Item_Blackeye peas,Item_Blueberries,Item_Broccoli,Item_Broccoli florets,Item_Broccoli heads,Item_Brussels sprouts,Item_Butternut squash,"Item_Cabbage, green","Item_Cabbage, red","Item_Cabbage, sauerkraut",Item_Cantaloupe,Item_Carrots,"Item_Carrots, baby","Item_Carrots, cooked whole","Item_Carrots, raw whole",Item_Cauliflower,Item_Cauliflower florets,Item_Cauliflower heads,Item_Celery sticks,"Item_Celery, trimmed bunches",Item_Cherries,"Item_Cherries, packed in syrup or water",Item_Clementines,Item_Collard greens,Item_Corn,Item_Cranberries,Item_Cucumbers with peel,Item_Cucumbers without peel,Item_Dates,Item_Figs,"Item_Fruit cocktail, packed in juice","Item_Fruit cocktail, packed in syrup or water",Item_Grapefruit,"Item_Grapefruit, ready-to-drink",Item_Grapes,Item_Grapes (raisins),"Item_Grapes, frozen concentrate","Item_Grapes, ready-to-drink",Item_Great northern beans,Item_Green beans,Item_Green peas,Item_Green peppers,Item_Honeydew,Item_Kale,Item_Kidney beans,Item_Kiwi,Item_Lentils,"Item_Lettuce, iceberg","Item_Lettuce, romaine, heads","Item_Lettuce, romaine, hearts",Item_Lima beans,Item_Mangoes,"Item_Mixed vegetables, broccoli, cauliflower, carrots","Item_Mixed vegetables, peas & carrots","Item_Mixed vegetables, peas, corn, green beans","Item_Mushrooms, sliced","Item_Mushrooms, whole",Item_Mustard greens,Item_Navy beans,Item_Nectarines,Item_Okra,Item_Olives,Item_Onions,Item_Oranges,"Item_Oranges, frozen concentrate","Item_Oranges, ready-to-drink",Item_Papaya,Item_Peaches,"Item_Peaches, packed in juice","Item_Peaches, packed in syrup or water",Item_Pears,"Item_Pears, packed in juice","Item_Pears, packed in syrup or water",Item_Pineapple,"Item_Pineapple, frozen concentrate","Item_Pineapple, packed in juice","Item_Pineapple, packed in syrup or water","Item_Pineapple, ready-to-drink",Item_Pinto beans,Item_Plum,"Item_Plum (prune), ready-to-drink",Item_Plum (prunes),Item_Pomegranate,"Item_Pomegranate, ready-to-drink",Item_Potatoes,"Item_Potatoes, french fries",Item_Pumpkin,Item_Radish,Item_Raspberries,Item_Red peppers,Item_Spinach,"Item_Spinach, boiled","Item_Spinach, eaten raw",Item_Strawberries,Item_Sweet potatoes,Item_Tomatoes,"Item_Tomatoes, grape & cherry","Item_Tomatoes, large round","Item_Tomatoes, roma & plum",Item_Turnip greens,Item_Watermelon,Item_Zucchini
Fresh,6.0172,per pound,0.96,0.3197,pounds,2.0037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frozen,3.6362,per pound,1.0,0.3307,pounds,1.2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canned,1.0375,per pound,0.65,0.3748,pounds,0.5982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dried,1.7584,per pound,2.5397,0.3858,pounds,0.2671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresh,4.1739,per pound,0.95,0.3197,pounds,1.4045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frozen,3.3898,per pound,1.0,0.3307,pounds,1.121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frozen,2.1543,per pound,0.8818,0.3417,pounds,0.8348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresh,2.7486,per pound,1.0,0.3417,pounds,0.9393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresh,2.3065,per pound,0.78,0.3417,pounds,1.0105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresh,2.6895,per pound,1.06,0.3417,pounds,0.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
