cupequivalentprice
1.1633
0.4094
0.5758
0.2926
0.3902
1.1603
0.9485
0.9131
1.3974
2.2545
2.0251
2.2159
1.909
2.5742
0.9653
0.2712
0.7314
1.1768
0.6102
0.2149
2.0037
1.2025
0.5982
0.2671
1.4045
1.121
0.8348
0.9393
1.0105
0.867
0.9331
0.7802
0.2983
0.4663
0.6089
0.4238
0.5565
0.5468
0.3504
0.341
0.2695
0.5908
1.0185
0.6103
0.636
0.3567
1.2729
3.07
0.8326
0.6626
0.583
0.7846
1.2737
0.5757
0.6286
0.5729
0.3255
0.4325
0.9212
1.1776
0.9289
1.0808
1.105
0.5208
0.6338
0.625
0.3559
0.4607
0.5992
0.2651
0.6987
0.4659
0.6414
0.6792
0.7485
0.4121
0.7378
0.6829
0.8597
0.5768
0.269
1.1091
0.2577
0.254
0.4077
0.6349
0.8075
0.6489
0.3321
0.5898
1.3219
0.6413
0.8004
0.5241
0.5502
0.562
0.5483
0.534
0.853
0.6228
0.2335
0.6696
1.8246
0.7734
1.7179
0.3822
0.7276
0.3845
0.4921
0.6424
0.8502
0.6111
1.12
1.0931
1.229
0.6412
1.0557
1.2868
0.4055
1.0261
0.3486
0.7748
0.9543
0.5144
0.5189
0.2021
0.7852
0.7761
1.0689
1.3638
1.561
0.2179
0.582
0.6769
1.0896
0.4829
2.2107
1.3849
0.6973
0.7585
1.0302
1.2859
0.4621
0.8774
0.9322
0.5599
0.5496
1.7075
0.9616
0.4785
1.0304
0.566
0.8841
0.2292
0.7987
