form,retailprice,retailpriceunit,yield,cupequivalentsize,cupequivalentunit,cupequivalentprice
Canned,1.0492,per pound,0.65,0.3858,pounds,0.6228
Dried,1.4942,per pound,2.4692,0.3858,pounds,0.2335
Fresh,1.9062,per pound,0.91,0.3197,pounds,0.6696
Fresh,3.9803,per pound,0.7695,0.3527,pounds,1.8246
Frozen,1.8562,per pound,0.8995,0.3748,pounds,0.7734
Canned,5.7719,per pound,1.0,0.2976,pounds,1.7179
Fresh,0.9751,per pound,0.9,0.3527,pounds,0.3822
Fresh,1.2131,per pound,0.68,0.4079,pounds,0.7276
Juice,0.769,per pint,1.0,8.0,fluid ounces,0.3845
Juice,0.9842,per pint,1.0,8.0,fluid ounces,0.4921
Fresh,1.2904,per pound,0.62,0.3086,pounds,0.6424
Dried,5.5089,per pound,1.0,0.1543,pounds,0.8502
Fresh,1.7167,per pound,0.96,0.3417,pounds,0.6111
Frozen,3.3867,per pound,1.0,0.3307,pounds,1.12
Canned,2.0237,per pound,1.0,0.5401,pounds,1.0931
Canned,1.8117,per pound,0.65,0.4409,pounds,1.229
Fresh,1.5865,per pound,0.9,0.3638,pounds,0.6412
Canned,1.9546,per pound,1.0,0.5401,pounds,1.0557
Canned,1.897,per pound,0.65,0.4409,pounds,1.2868
Fresh,0.5685,per pound,0.51,0.3638,pounds,0.4055
Dried,6.6492,per pound,1.0,0.1543,pounds,1.0261
Juice,0.6973,per pint,1.0,8.0,fluid ounces,0.3486
Canned,1.4344,per pound,1.0,0.5401,pounds,0.7748
Canned,1.4067,per pound,0.65,0.4409,pounds,0.9543
Juice,1.0288,per pint,1.0,8.0,fluid ounces,0.5144
Canned,0.8742,per pound,0.65,0.3858,pounds,0.5189
Dried,1.2933,per pound,2.4692,0.3858,pounds,0.2021
Fresh,2.0292,per pound,0.94,0.3638,pounds,0.7852
Juice,1.5522,per pint,1.0,8.0,fluid ounces,0.7761
Dried,5.7042,per pound,1.0,0.1874,pounds,1.0689
Fresh,2.235,per pound,0.56,0.3417,pounds,1.3638
Juice,3.122,per pint,1.0,8.0,fluid ounces,1.561
Fresh,0.6682,per pound,0.8113,0.2646,pounds,0.2179
Canned,1.107,per pound,0.65,0.3417,pounds,0.582
Frozen,1.5371,per pound,0.776,0.3417,pounds,0.6769
Canned,2.0172,per pound,1.0,0.5401,pounds,1.0896
Fresh,1.577,per pound,0.9,0.2756,pounds,0.4829
Fresh,6.6391,per pound,0.96,0.3197,pounds,2.2107
Frozen,4.1877,per pound,1.0,0.3307,pounds,1.3849
Fresh,2.1614,per pound,0.82,0.2646,pounds,0.6973
Canned,1.3154,per pound,0.65,0.3748,pounds,0.7585
Frozen,2.133,per pound,0.776,0.3748,pounds,1.0302
Fresh,2.994,per pound,0.77,0.3307,pounds,1.2859
Fresh,2.994,per pound,1.0,0.1543,pounds,0.4621
Fresh,2.58,per pound,0.94,0.3197,pounds,0.8774
Frozen,2.8189,per pound,1.0,0.3307,pounds,0.9322
Fresh,1.1198,per pound,0.8818,0.4409,pounds,0.5599
Canned,1.0175,per pound,1.0,0.5401,pounds,0.5496
Fresh,4.1458,per pound,0.91,0.3748,pounds,1.7075
Fresh,2.3347,per pound,0.91,0.3748,pounds,0.9616
Fresh,1.1618,per pound,0.91,0.3748,pounds,0.4785
Fresh,2.4176,per pound,0.75,0.3197,pounds,1.0304
Canned,1.0429,per pound,0.65,0.3527,pounds,0.566
Frozen,1.9451,per pound,0.776,0.3527,pounds,0.8841
Fresh,0.3604,per pound,0.52,0.3307,pounds,0.2292
Fresh,1.5489,per pound,0.7695,0.3968,pounds,0.7987
